,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,rating
Susy,0.10860727727413177,59775.0,23.543914794921875,111.94446563720703,0.06616777926683426,0.040567152202129364,0.45569121837615967,0.4992735981941223,1.4531805515289307,0.4609867036342621,0.4649612009525299,64.11241912841797,9.159074783325195,0.005217560566961765,0.02040836587548256,0.009525674395263195,0.08636603504419327,0.00010104290413437411,0.07337278872728348,0.18493753671646118,199.0310516357422,9.313952445983887,8.79101848602295,3.97
A Face Illumined,0.04932142049074173,197987.0,23.780086517333984,109.2002182006836,0.027864521369338036,0.031227480620145798,0.5460004806518555,0.3870435655117035,1.3742338418960571,0.46821892261505127,0.4944763481616974,70.34759521484375,8.397994995117188,0.0002444768324494362,0.023994866758584976,0.0037809780333191156,0.08455781638622284,0.00022902250930201262,0.0776810497045517,0.19635725021362305,108.27127075195312,9.239035606384277,8.364532470703125,4.36
Stories in Light and Shadow,0.11345293372869492,71739.0,21.51829719543457,99.77084350585938,0.10227954387664795,0.03179364278912544,0.4826034903526306,0.524692177772522,1.4253454208374023,0.4452226161956787,0.45355620980262756,68.4015121459961,8.087413787841797,0.009893622249364853,0.01576637476682663,0.01421965379267931,0.08676590025424957,0.0004434628935996443,0.06883980333805084,0.18489162623882294,198.62469482421875,9.504225730895996,8.691487312316895,3.56
Openings in the Old Trail,0.10364383459091187,75470.0,21.545246124267578,99.7630615234375,0.0953468456864357,0.02711961232125759,0.4852983057498932,0.4869316518306732,1.4240885972976685,0.4457457661628723,0.4576074779033661,68.610107421875,8.033288955688477,0.004531602840870619,0.014667944982647896,0.0005235542193986475,0.07934965193271637,0.0002775627945084125,0.0703369677066803,0.18554073572158813,192.2137908935547,9.467520713806152,8.563837051391602,3.71
From Sand Hill to Pine,0.09589004516601562,75013.0,21.047698974609375,95.65403747558594,0.11672278493642807,0.028338944539427757,0.5289000868797302,0.49536970257759094,1.3907924890518188,0.4519316852092743,0.4645278751850128,71.8281021118164,7.4862589836120605,0.004741026554256678,0.01648080162703991,0.011817148886620998,0.07958164811134338,0.0005418141954578459,0.0755918100476265,0.19367536902427673,175.1787109375,9.373330116271973,8.371818542480469,4.5
Tales of Trail and Town,0.10405278205871582,78662.0,22.709667205810547,106.7645034790039,0.08542568236589432,0.030591631308197975,0.4346320331096649,0.5055728554725647,1.4292649030685425,0.4564064145088196,0.45932868123054504,66.8509521484375,8.602036476135254,0.002916427794843912,0.016997558996081352,-0.0007297931588254869,0.08284936845302582,0.0008602894376963377,0.07309433072805405,0.18408776819705963,189.21981811523438,9.462301254272461,8.51150131225586,3.55
Under the Redwoods,0.11227574199438095,75751.0,23.555036544799805,111.61598205566406,0.08799751102924347,0.02674129419028759,0.45429104566574097,0.5034921169281006,1.4393664598464966,0.44898855686187744,0.4552364647388458,65.21717834472656,9.020625114440918,0.0006008043419569731,0.015249458141624928,0.012997513636946678,0.08294505625963211,0.0001749333750922233,0.07089134305715561,0.18350958824157715,206.99620056152344,9.561836242675781,8.782751083374023,4.17
Mr,0.10850656032562256,65185.0,21.2681884765625,97.03556060791016,0.08254486322402954,0.02446982078254223,0.5425775051116943,0.5077295899391174,1.4122416973114014,0.44173383712768555,0.46114328503608704,70.08415222167969,7.71221399307251,0.0036783739924430847,0.015020322985947132,0.012204890139400959,0.077925905585289,0.00024920780560933053,0.0741301029920578,0.19129669666290283,200.2880401611328,9.394587516784668,8.47374153137207,3.82
The Three Partners,0.08755207061767578,78262.0,21.44246482849121,97.85479736328125,0.05972602590918541,0.03780822083353996,0.5345205664634705,0.4948837161064148,1.3805757761001587,0.47156408429145813,0.47264334559440613,72.2087631225586,7.5515456199646,0.013818992301821709,0.017614401876926422,0.012438212521374226,0.07622244209051132,0.00012477773998398334,0.075255386531353,0.19245104491710663,159.88876342773438,9.18897533416748,8.18142032623291,3.88
On the Frontier,0.11614339053630829,53477.0,20.728294372558594,96.65426635742188,0.059689924120903015,0.03837209194898605,0.48255813121795654,0.5186617374420166,1.4246587753295898,0.4452696144580841,0.4610327482223511,69.0145263671875,7.866089820861816,0.002965095918625593,0.015759237110614777,0.0035272471141070127,0.08007452636957169,0.00022748236369807273,0.06956495344638824,0.18485423922538757,221.49917602539062,9.368034362792969,8.597941398620605,3.44
