,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,rating
The Amateur Cracksman,0.093475662,64359,17.33423042,73.96741486,0.058981955,0.039590627,0.558847308,0.513364196,1.310657978,0.473580092,0.502764881,81.86444092,5.289232731,0.001017576,0.02090922,0.010781106,0.072412528,0.000349358,0.070937969,0.200861633,179.4543762,9.021069527,7.667171955,3.76
The Memoirs of Sherlock Holmes,0.072337173,104635,18.88503838,84.00974274,0.013535463,0.018949648,0.546291292,0.465542316,1.334574223,0.490464658,0.50822258,78.13514709,6.226942062,0.001959716,0.015752621,0.0003398,0.067080379,0.000104381,0.066164158,0.202597842,144.8326569,9.075332642,7.678382874,4.32
The Mysterious Affair at Styles,0.074393205,72883,13.44319439,57.77978516,0.036333457,0.038546663,0.586315036,0.481568158,1.391151309,0.440524638,0.482727826,78.66300201,4.852612972,0.00250844,0.02698314,0.007308334,0.073358826,0.000446542,0.083932877,0.221809074,143.04599,9.040846825,8.037632942,3.99
Within the Law,0.072494775,100021,15.79737854,70.67324829,0.023847125,0.015319015,0.458780795,0.440407813,1.415980339,0.445539683,0.460520864,74.29577637,6.016541004,-0.000300158,0.025040349,-0.004601653,0.075048395,6.29E-05,0.077513225,0.188753217,155.9378662,9.225427628,8.299897194,4.17
The Secret Adversary,0.070702709,97224,12.07662678,51.53874969,0.040362641,0.037630402,0.565697968,0.469026536,1.359850526,0.437863976,0.467066586,82.37767792,4.073423862,0.004079833,0.02371558,-0.001678921,0.076472931,0.000120513,0.077852167,0.215505809,135.6596832,9.197986603,7.821974754,3.84
Fire-Tongue,0.083960429,77739,17.02057838,78.71562958,0.022767074,0.012915937,0.507224143,0.434824288,1.443916917,0.425964087,0.448886573,70.64050293,6.842564583,-0.002656883,0.01749813,-0.00788588,0.077901915,7.91E-05,0.07000424,0.207654208,164.8349457,9.341247559,8.722197533,3.1
Dope,0.082690194,108453,15.92185879,73.18692017,0.031227093,0.01304794,0.515173733,0.440667778,1.439560294,0.397347301,0.433086902,72.10646057,6.369497299,-0.003331006,0.017775599,-0.011478994,0.084741786,0.000379438,0.06380368,0.20079346,157.9335632,9.604468346,8.802527428,3.62
The Adventures of Jimmie Dale,0.048892204,195839,19.00126076,84.5803833,0.12622489,0.059086058,0.408072174,0.395239681,1.348684072,0.449164033,0.448245704,77.19255066,6.296955585,-0.007950531,0.017961249,-0.016089248,0.074068278,0.000715908,0.079161845,0.184749305,135.0613098,9.217350006,8.024209976,4.2
The Malefactor,0.062916562,92424,13.33751774,56.92828369,0.045454547,0.022799423,0.532611847,0.457284659,1.370330811,0.448247492,0.496764511,80.35751343,4.632638931,-0.007579334,0.025493398,0.002744654,0.073708922,4.17E-05,0.075916894,0.230554953,128.3288574,8.997592926,7.808134079,3.79
The Illustrious Prince,0.058651973,108351,16.21469116,71.37627411,0.01780371,0.015110712,0.525583506,0.449607342,1.37728858,0.461306453,0.49599427,77.16178131,5.716484547,0.001674041,0.019165281,-0.004906313,0.070914894,9.24E-05,0.072277099,0.211313352,126.5244751,9.067597389,7.745339394,3.33
